Z,N,MM,,,
43,95,94.90765366,,,
43,96,95.90786806,,,
43,97,96.90636674,,,
43,98,97.90721244,,,
43,99,98.90625081,,,
43,100,99.90765392,,,
43,101,100.9073093,,,
43,102,101.9092098,,,
43,103,102.9091761,,,
43,104,103.9114253,,,
43,105,104.9116554,,,
43,106,105.9143581,,,
43,107,106.9154607,,,
43,108,107.9184958,,,
43,109,108.9202561,,,
43,110,109.9237441,,,
43,111,110.9259011,,,
43,112,111.9299459,,,
43,113,112.932569,,,
43,114,113.9369111,,,
43,115,114.9399821,,,
43,116,115.9447632,,,
43,117,116.9480643,,,
43,118,117.9529943,,,
43,119,118.9566654,,,
43,120,119.9618754,,,
44,87,86.9506943,,,
44,88,87.9416032,,,
44,89,88.9376232,,,
44,90,89.93034444,,,
44,91,90.92674192,,,
44,92,91.92023443,,,
44,93,92.91710442,,,
44,94,93.91134293,,,
44,95,94.9104061,,,
44,96,95.90759025,,,
44,97,96.90754713,,,
44,98,97.90528687,,,
44,99,98.90593411,,,
44,100,99.90421431,,,
44,101,100.9055769,,,
44,102,101.9043441,,,
44,103,102.9063186,,,
44,104,103.9054275,,,
44,105,104.9077476,,,
44,106,105.9073292,,,
44,107,106.9099721,,,
44,108,107.9101881,,,
44,109,108.9133261,,,
44,110,109.9140408,,,
44,111,110.9175701,,,
44,112,111.9188091,,,
44,113,112.9228444,,,
44,114,113.9246136,,,
44,115,114.9288207,,,
44,116,115.9312192,,,
44,117,116.9361063,,,
44,118,117.9385332,,,
44,119,118.9435732,,,
44,120,119.9463143,,,
44,121,120.9516443,,,
44,122,121.9544754,,,
44,123,122.9598954,,,
44,124,123.9630564,,,
45,89,88.9505839,,,
45,90,89.9442243,,,
45,91,90.9368843,,,
45,92,91.93236775,,,
45,93,92.92591283,,,
45,94,93.92173054,,,
45,95,94.91589794,,,
45,96,95.91445311,,,
45,97,96.91132938,,,
45,98,97.91070813,,,
45,99,98.90812827,,,
45,100,99.90811719,,,
45,101,100.9061607,,,
45,102,101.9068375,,,
45,103,102.905498,,,
45,104,103.9066492,,,
45,105,104.9056885,,,
45,106,105.9072869,,,
45,107,106.9067481,,,
45,108,107.9087142,,,
45,109,108.9087488,,,
45,110,109.9110792,,,
45,111,110.9116424,,,
45,112,111.9144035,,,
45,113,112.9154394,,,
45,114,113.9187188,,,
45,115,114.9203117,,,
45,116,115.9240598,,,
45,117,116.9260355,,,
45,118,117.9303403,,,
45,119,118.9325571,,,
45,120,119.9368621,,,
45,121,120.9394232,,,
45,122,121.9439932,,,
45,123,122.9468543,,,
45,124,123.9515143,,,
45,125,124.9546954,,,
45,126,125.9594654,,,
46,91,90.9503254,,,
46,92,91.9408854,,,
46,93,92.9365143,,,
46,94,93.92903765,,,
46,95,94.92488983,,,
46,96,95.91821515,,,
46,97,96.91647205,,,
46,98,97.91269835,,,
46,99,98.91177485,,,
46,100,99.90850519,,,
46,101,100.9082864,,,
46,102,101.9056022,,,
46,103,102.9060809,,,
46,104,103.9040305,,,
46,105,104.9050796,,,
46,106,105.9034804,,,
46,107,106.9051282,,,
46,108,107.9038916,,,
46,109,108.9059504,,,
46,110,109.9051722,,,
46,111,110.9076897,,,
46,112,111.9073298,,,
46,113,112.9102611,,,
46,114,113.9103687,,,
46,115,114.9136592,,,
46,116,115.9142971,,,
46,117,116.9179548,,,
46,118,117.9190667,,,
46,119,118.9233403,,,
46,120,119.9245511,,,
46,121,120.9289503,,,
46,122,121.9306322,,,
46,123,122.9351421,,,
46,124,123.9371432,,,
46,125,124.9417943,,,
46,126,125.9441654,,,
46,127,126.9490754,,,
46,128,127.9518364,,,
47,93,92.9503354,,,
47,94,93.9437369,,,
47,95,94.9360243,,,
47,96,95.93074497,,,
47,97,96.9239712,,,
47,98,97.92156035,,,
47,99,98.91764587,,,
47,100,99.91611545,,,
47,101,100.9126841,,,
47,102,101.9117048,,,
47,103,102.9089631,,,
47,104,103.9086239,,,
47,105,104.9065256,,,
47,106,105.9066636,,,
47,107,106.9050916,,,
47,108,107.9059503,,,
47,109,108.9047553,,,
47,110,109.9061102,,,
47,111,110.9052959,,,
47,112,111.9070486,,,
47,113,112.9065732,,,
47,114,113.908823,,,
47,115,114.9087672,,,
47,116,115.9113868,,,
47,117,116.9117742,,,
47,118,117.9145955,,,
47,119,118.9155702,,,
47,120,119.9187848,,,
47,121,120.9201251,,,
47,122,121.9236644,,,
47,123,122.9253373,,,
47,124,123.9289327,,,
47,125,124.9310564,,,
47,126,125.9347521,,,
47,127,126.9371121,,,
47,128,127.9410632,,,
47,129,128.9439532,,,
47,130,129.9507036,,,
48,95,94.9499454,,,
48,96,95.9403443,,,
48,97,96.9351032,,,
48,98,97.92738956,,,
48,99,98.92492582,,,
48,100,99.92034882,,,
48,101,100.9185862,,,
48,102,101.914482,,,
48,103,102.9134165,,,
48,104,103.9098564,,,
48,105,104.9094639,,,
48,106,105.9064599,,,
48,107,106.9066121,,,
48,108,107.9041834,,,
48,109,108.9049867,,,
48,110,109.9030066,,,
48,111,110.9041829,,,
48,112,111.9027629,,,
48,113,112.9044081,,,
48,114,113.9033651,,,
48,115,114.9054375,,,
48,116,115.9047632,,,
48,117,116.907226,,,
48,118,117.9069222,,,
48,119,118.9098474,,,
48,120,119.9098681,,,
48,121,120.9129637,,,
48,122,121.9134591,,,
48,123,122.9168925,,,
48,124,123.9176574,,,
48,125,124.9212576,,,
48,126,125.9224291,,,
48,127,126.9264721,,,
48,128,127.927813,,,
48,129,128.9318221,,,
48,130,129.9339418,,,
48,131,130.9406021,,,
48,132,131.9460421,,,
48,133,132.9528532,,,
49,97,96.9493454,,,
49,98,97.9421421,,,
49,99,98.9341121,,,
49,100,99.930962,,,
49,101,100.9263432,,,
49,102,101.9241071,,,
49,103,102.919882,,,
49,104,103.9182146,,,
49,105,104.9145021,,,
49,106,105.9134641,,,
49,107,106.9102901,,,
49,108,107.9096936,,,
49,109,108.9071514,,,
49,110,109.9071701,,,
49,111,110.9051085,,,
49,112,111.9055377,,,
49,113,112.9040618,,,
49,114,113.9049179,,,
49,115,114.9038788,,,
49,116,115.90526,,,
49,117,116.9045158,,,
49,118,117.9063567,,,
49,119,118.9058508,,,
49,120,119.9079674,,,
49,121,120.9078513,,,
49,122,121.9102815,,,
49,123,122.9104342,,,
49,124,123.9131823,,,
49,125,124.9136053,,,
49,126,125.9165073,,,
49,127,126.9174462,,,
49,128,127.9204016,,,
49,129,128.9218053,,,
49,130,129.9249774,,,
49,131,130.9269715,,,
49,132,131.9330016,,,
49,133,132.9383121,,,
49,134,133.9445432,,,
49,135,134.9500543,,,
50,99,98.9485354,,,
50,100,99.9385032,,,
50,101,100.9352632,,,
50,102,101.9302911,,,
50,103,102.9281058,,,
50,104,103.9231053,,,
50,105,104.9212684,,,
50,106,105.9169575,,,
50,107,106.9157138,,,
50,108,107.9118944,,,
50,109,108.9112922,,,
50,110,109.9078452,,,
50,111,110.9077402,,,
50,112,111.9048239,,,
50,113,112.9051757,,,
50,114,113.9027827,,,
50,115,114.9033447,,,
50,116,115.9017428,,,
50,117,116.902954,,,
50,118,117.9016066,,,
50,119,118.9033112,,,
50,120,119.9022016,,,
50,121,120.9042426,,,
50,122,121.9034438,,,
50,123,122.9057252,,,
50,124,123.9052766,,,
50,125,124.9077864,,,
50,126,125.9076591,,,
50,127,126.9103901,,,
50,128,127.9105072,,,
50,129,128.9134652,,,
50,130,129.9139738,,,
50,131,130.9170451,,,
50,132,131.9178267,,,
50,133,132.9239134,,,
50,134,133.9286821,,,
50,135,134.9349086,,,
50,136,135.9399943,,,
50,137,136.9465554,,,
50,138,137.9518464,,,
51,103,102.9396932,,,
51,104,103.9364813,,,
51,105,104.9312762,,,
51,106,105.9286381,,,
51,107,106.9241506,,,
51,108,107.9222268,,,
51,109,108.9181412,,,
51,110,109.9168544,,,
51,111,110.9132183,,,
51,112,111.9124002,,,
51,113,112.9093752,,,
51,114,113.9092902,,,
51,115,114.9065982,,,
51,116,115.9067932,,,
51,117,116.9048416,,,
51,118,117.9055321,,,
51,119,118.9039456,,,
51,120,119.9050795,,,
51,121,120.903812,,,
51,122,121.9051699,,,
51,123,122.9042132,,,
51,124,123.905935,,,
51,125,124.905253,,,
51,126,125.9072533,,,
51,127,126.9069244,,,
51,128,127.9091462,,,
51,129,128.9091472,,,
51,130,129.9116622,,,
51,131,130.9119888,,,
51,132,131.9145077,,,
51,133,132.9152732,,,
51,134,133.9205357,,,
51,135,134.9251851,,,
51,136,135.930746,,,
51,137,136.9355532,,,
51,138,137.9414532,,,
51,139,138.9465543,,,
51,140,139.9528364,,,
52,105,104.9433032,,,
52,106,105.9375011,,,
52,107,106.9350128,,,
52,108,107.9293806,,,
52,109,108.9273045,,,
52,110,109.9224582,,,
52,111,110.9210007,,,
52,112,111.916728,,,
52,113,112.9158913,,,
52,114,113.9120893,,,
52,115,114.9119023,,,
52,116,115.9084603,,,
52,117,116.9086461,,,
52,118,117.9058542,,,
52,119,118.9064072,,,
52,120,119.9040593,,,
52,121,120.9049443,,,
52,122,121.9030435,,,
52,123,122.9042698,,,
52,124,123.9028171,,,
52,125,124.9044299,,,
52,126,125.9033109,,,
52,127,126.9052257,,,
52,128,127.9044613,,,
52,129,128.9065965,,,
52,130,129.9062227,,,
52,131,130.9085222,,,
52,132,131.9085467,,,
52,133,132.9109688,,,
52,134,133.911394,,,
52,135,134.9165557,,,
52,136,135.9201006,,,
52,137,136.9255989,,,
52,138,137.9294722,,,
52,139,138.9353672,,,
52,140,139.9394993,,,
52,141,140.9458043,,,
52,142,141.9502254,,,
52,143,142.9567654,,,
53,107,106.9467832,,,
53,108,107.9434814,,,
53,109,108.9380854,,,
53,110,109.9350895,,,
53,111,110.9302693,,,
53,112,111.9280051,,,
53,113,112.9236502,,,
53,114,113.9218532,,,
53,115,114.9180483,,,
53,116,115.916811,,,
53,117,116.9136483,,,
53,118,117.9130742,,,
53,119,118.9100743,,,
53,120,119.9100872,,,
53,121,120.9074052,,,
53,122,121.9075889,,,
53,123,122.9055885,,,
53,124,123.906209,,,
53,125,124.9046294,,,
53,126,125.9056233,,,
53,127,126.9044719,,,
53,128,127.9058086,,,
53,129,128.9049837,,,
53,130,129.9066702,,,
53,131,130.9061263,,,
53,132,131.9079935,,,
53,133,132.9077971,,,
53,134,133.9097589,,,
53,135,134.9100489,,,
53,136,135.9146042,,,
53,137,136.9180283,,,
53,138,137.9227265,,,
53,139,138.9265063,,,
53,140,139.931732,,,
53,141,140.9356921,,,
53,142,141.941204,,,
53,143,142.9456532,,,
53,144,143.9513943,,,
53,145,144.9560554,,,
54,109,108.9504332,,,
54,110,109.9442611,,,
54,111,110.9416079,,,
54,112,111.9355591,,,
54,113,112.9332218,,,
54,114,113.9279801,,,
54,115,114.9262941,,,
54,116,115.9215811,,,
54,117,116.9203591,,,
54,118,117.9161791,,,
54,119,118.9154111,,,
54,120,119.9117841,,,
54,121,120.9114531,,,
54,122,121.9083681,,,
54,123,122.9084821,,,
54,124,123.905892,,,
54,125,124.9063944,,,
54,126,125.9042983,,,
54,127,126.9051829,,,
54,128,127.903531,,,
54,129,128.9047809,,,
54,130,129.9035093,,,
54,131,130.9050841,,,
54,132,131.9041551,,,
54,133,132.9059108,,,
54,134,133.9053947,,,
54,135,134.9072278,,,
54,136,135.9072145,,,
54,137,136.9115578,,,
54,138,137.9141463,,,
54,139,138.9187922,,,
54,140,139.9216458,,,
54,141,140.9267872,,,
54,142,141.9299731,,,
54,143,142.9353697,,,
54,144,143.9389452,,,
54,145,144.9447201,,,
54,146,145.9485183,,,
54,147,146.9542621,,,
54,148,147.9581321,,,
55,112,111.9503099,,,
55,113,112.9444292,,,
55,114,113.9412968,,,
55,115,114.9359132,,,
55,116,115.9333711,,,
55,117,116.9286177,,,
55,118,117.9265601,,,
55,119,118.9223772,,,
55,120,119.9206771,,,
55,121,120.9172272,,,
55,122,121.9161084,,,
55,123,122.9129961,,,
55,124,123.9122579,,,
55,125,124.9097281,,,
55,126,125.9094461,,,
55,127,126.9074175,,,
55,128,127.9077488,,,
55,129,128.9060657,,,
55,130,129.9067094,,,
55,131,130.905465,,,
55,132,131.9064339,,,
55,133,132.905452,,,
55,134,133.9067185,,,
55,135,134.905977,,,
55,136,135.9073114,,,
55,137,136.9070892,,,
55,138,137.9110172,,,
55,139,138.9133638,,,
55,140,139.9172832,,,
55,141,140.9200456,,,
55,142,141.9242961,,,
55,143,142.9273492,,,
55,144,143.9320763,,,
55,145,144.9355271,,,
55,146,145.9403444,,,
55,147,146.9441566,,,
55,148,147.9492362,,,
55,149,148.9530221,,,
55,150,149.9583332,,,
55,151,150.9625843,,,
56,114,113.9506612,,,
56,115,114.9473754,,,
56,116,115.9412832,,,
56,117,116.9381421,,,
56,118,117.9330621,,,
56,119,118.9306621,,,
56,120,119.9260532,,,
56,121,120.9240515,,,
56,122,121.9199043,,,
56,123,122.9187811,,,
56,124,123.9150941,,,
56,125,124.9144721,,,
56,126,125.9112501,,,
56,127,126.9110911,,,
56,128,127.9083421,,,
56,129,128.9086811,,,
56,130,129.9063207,,,
56,131,130.906941,,,
56,132,131.9050611,,,
56,133,132.9060074,,,
56,134,133.9045082,,,
56,135,134.9056884,,,
56,136,135.9045757,,,
56,137,136.9058271,,,
56,138,137.905247,,,
56,139,138.9088411,,,
56,140,139.9106058,,,
56,141,140.9144034,,,
56,142,141.9164325,,,
56,143,142.9206254,,,
56,144,143.922955,,,
56,145,144.9275185,,,
56,146,145.9302842,,,
56,147,146.9353042,,,
56,148,147.9381717,,,
56,149,148.9430821,,,
56,150,149.9460532,,,
56,151,150.9512732,,,
56,152,151.9548143,,,
56,153,152.9603643,,,
57,116,115.9563023,,,
57,117,116.9499932,,,
57,118,117.9467332,,,
57,119,118.9409932,,,
57,120,119.9380732,,,
57,121,120.9331532,,,
57,122,121.9307132,,,
57,123,122.9263021,,,
57,124,123.9245746,,,
57,125,124.9208163,,,
57,126,125.919514,,,
57,127,126.9163753,,,
57,128,127.9155926,,,
57,129,128.9126942,,,
57,130,129.9123693,,,
57,131,130.9100703,,,
57,132,131.9101194,,,
57,133,132.9082183,,,
57,134,133.9085142,,,
57,135,134.9069841,,,
57,136,135.9076356,,,
57,137,136.9064504,,,
57,138,137.9071149,,,
57,139,138.9063563,,,
57,140,139.9094806,,,
57,141,140.910966,,,
57,142,141.914091,,,
57,143,142.9160796,,,
57,144,143.9196461,,,
57,145,144.9218081,,,
57,146,145.9258754,,,
57,147,146.9284181,,,
57,148,147.9326792,,,
57,149,148.9353521,,,
57,150,149.9394721,,,
57,151,150.9423221,,,
57,152,151.9468232,,,
57,153,152.9503632,,,
57,154,153.9551743,,,
57,155,154.9590143,,,
58,119,118.9527154,,,
58,120,119.9465454,,,
58,121,120.9433543,,,
58,122,121.9378743,,,
58,123,122.9352832,,,
58,124,123.9303132,,,
58,125,124.9284421,,,
58,126,125.9239713,,,
58,127,126.9227273,,,
58,128,127.9189113,,,
58,129,128.9181023,,,
58,130,129.9147363,,,
58,131,130.9144294,,,
58,132,131.9114642,,,
58,133,132.9115202,,,
58,134,133.9089282,,,
58,135,134.9091611,,,
58,136,135.9071292,,,
58,137,136.9077624,,,
58,138,137.9059911,,,
58,139,138.9066552,,,
58,140,139.9054431,,,
58,141,140.9082807,,,
58,142,141.9092504,,,
58,143,142.9123921,,,
58,144,143.9136529,,,
58,145,144.9172654,,,
58,146,145.9188022,,,
58,147,146.92269,,,
58,148,147.9244241,,,
58,149,148.9284271,,,
58,150,149.9303841,,,
58,151,150.9342722,,,
58,152,151.9366021,,,
58,153,152.9409321,,,
58,154,153.9438032,,,
58,155,154.9485543,,,
58,156,155.9518343,,,
58,157,156.9570554,,,
59,121,120.9553254,,,
59,122,121.9517554,,,
59,123,122.9459643,,,
59,124,123.9429443,,,
59,125,124.9377032,,,
59,126,125.9352421,,,
59,127,126.9307121,,,
59,128,127.9287913,,,
59,129,128.9250953,,,
59,130,129.9235907,,,
59,131,130.9202355,,,
59,132,131.9192556,,,
59,133,132.9163311,,,
59,134,133.9156972,,,
59,135,134.9131121,,,
59,136,135.9126771,,,
59,137,136.9106793,,,
59,138,137.9107542,,,
59,139,138.9089409,,,
59,140,139.9090804,,,
59,141,140.9076576,,,
59,142,141.9100496,,,
59,143,142.9108228,,,
59,144,143.9133109,,,
59,145,144.9145183,,,
59,146,145.9176804,,,
59,147,146.9190082,,,
59,148,147.9221302,,,
59,149,148.9237361,,,
59,150,149.9266766,,,
59,151,150.9283091,,,
59,152,151.9315532,,,
59,153,152.9339041,,,
59,154,153.9375316,,,
59,155,154.9405092,,,
59,156,155.9446432,,,
59,157,156.9478943,,,
59,158,157.9524143,,,
59,159,158.9558954,,,
60,124,123.9522054,,,
60,125,124.9489043,,,
60,126,125.9431132,,,
60,127,126.9403832,,,
60,128,127.9352521,,,
60,129,128.9331022,,,
60,130,129.9285063,,,
60,131,130.9272483,,,
60,132,131.9233213,,,
60,133,132.9223485,,,
60,134,133.9187901,,,
60,135,134.9181812,,,
60,136,135.9149761,,,
60,137,136.9145621,,,
60,138,137.9119501,,,
60,139,138.9119543,,,
60,140,139.9095503,,,
60,141,140.9096147,,,
60,142,141.907729,,,
60,143,142.90982,,,
60,144,143.910093,,,
60,145,144.9125793,,,
60,146,145.9131226,,,
60,147,146.9161061,,,
60,148,147.9168993,,,
60,149,148.9201548,,,
60,150,149.9209022,,,
60,151,150.9238403,,,
60,152,151.9246923,,,
60,153,152.927718,,,
60,154,153.9294812,,,
60,155,154.9331358,,,
60,156,155.9350821,,,
60,157,156.9393863,,,
60,158,157.9419732,,,
60,159,158.9465343,,,
60,160,159.9494043,,,
60,161,160.9542854,,,
61,126,125.9579254,,,
61,127,126.9519243,,,
61,128,127.9487032,,,
61,129,128.9432332,,,
61,130,129.9405321,,,
61,131,130.9356721,,,
61,132,131.9338416,,,
61,133,132.9297825,,,
61,134,133.9283536,,,
61,135,134.9248237,,,
61,136,135.9235858,,,
61,137,136.9204801,,,
61,138,137.9195483,,,
61,139,138.9168002,,,
61,140,139.9160404,,,
61,141,140.9135552,,,
61,142,141.9128903,,,
61,143,142.9109383,,,
61,144,143.9125964,,,
61,145,144.9127559,,,
61,146,145.9147024,,,
61,147,146.915145,,,
61,148,147.917482,,,
61,149,148.9183423,,,
61,150,149.9209912,,,
61,151,150.9212176,,,
61,152,151.9235063,,,
61,153,152.9241568,,,
61,154,153.9264725,,,
61,155,154.9281371,,,
61,156,155.9311175,,,
61,157,156.9331215,,,
61,158,157.9365651,,,
61,159,158.9392871,,,
61,160,159.9431032,,,
61,161,160.9460732,,,
61,162,161.9502243,,,
61,163,162.9535754,,,
62,128,127.9584254,,,
62,129,128.9547654,,,
62,130,129.9490043,,,
62,131,130.9461843,,,
62,132,131.9408732,,,
62,133,132.9385632,,,
62,134,133.9341121,,,
62,135,134.9325217,,,
62,136,135.9282761,,,
62,137,136.9269715,,,
62,138,137.9232441,,,
62,139,138.9222971,,,
62,140,139.9189951,,,
62,141,140.9184817,,,
62,142,141.9152044,,,
62,143,142.9146353,,,
62,144,143.9120065,,,
62,145,144.9134173,,,
62,146,145.913047,,,
62,147,146.9149044,,,
62,148,147.9148292,,,
62,149,148.9171921,,,
62,150,149.9172829,,,
62,151,150.9199398,,,
62,152,151.9197397,,,
62,153,152.9221047,,,
62,154,153.9222169,,,
62,155,154.9246477,,,
62,156,155.9255361,,,
62,157,156.9284187,,,
62,158,157.9299511,,,
62,159,158.9332173,,,
62,160,159.9353354,,,
62,161,160.9391603,,,
62,162,161.9414621,,,
62,163,162.9455532,,,
62,164,163.9483632,,,
62,165,164.9529743,,,
63,130,129.9636954,,,
63,131,130.9578443,,,
63,132,131.9546743,,,
63,133,132.9492932,,,
63,134,133.9464032,,,
63,135,134.9418721,,,
63,136,135.9396221,,,
63,137,136.9354621,,,
63,138,137.9337093,,,
63,139,138.9297921,,,
63,140,139.9280886,,,
63,141,140.9249321,,,
63,142,141.9234423,,,
63,143,142.9202991,,,
63,144,143.9188201,,,
63,145,144.9162726,,,
63,146,145.9172111,,,
63,147,146.9167527,,,
63,148,147.9180891,,,
63,149,148.9179378,,,
63,150,149.9197078,,,
63,151,150.9198578,,,
63,152,151.9217522,,,
63,153,152.921238,,,
63,154,153.922987,,,
63,155,154.9229011,,,
63,156,155.9247606,,,
63,157,156.9254334,,,
63,158,157.9277991,,,
63,159,158.9291001,,,
63,160,159.9318511,,,
63,161,160.9336641,,,
63,162,161.9369897,,,
63,163,162.9391968,,,
63,164,163.9427422,,,
63,165,164.9455935,,,
63,166,165.9496232,,,
63,167,166.9528943,,,
64,133,132.9613354,,,
64,134,133.9556643,,,
64,135,134.9524543,,,
64,136,135.9473032,,,
64,137,136.9450232,,,
64,138,137.9402521,,,
64,139,138.9381321,,,
64,140,139.9336743,,,
64,141,140.9321262,,,
64,142,141.9281163,,,
64,143,142.9267522,,,
64,144,143.9229633,,,
64,145,144.9217132,,,
64,146,145.9183188,,,
64,147,146.9191014,,,
64,148,147.9181215,,,
64,149,148.9193481,,,
64,150,149.9186645,,,
64,151,150.920356,,,
64,152,151.9197995,,,
64,153,152.921758,,,
64,154,153.9208741,,,
64,155,154.9226305,,,
64,156,155.9221312,,,
64,157,156.9239686,,,
64,158,157.9241123,,,
64,159,158.926397,,,
64,160,159.9270624,,,
64,161,160.9296775,,,
64,162,161.930993,,,
64,163,162.934177,,,
64,164,163.9358321,,,
64,165,164.9393632,,,
64,166,165.9414664,,,
64,167,166.9454543,,,
64,168,167.9480843,,,
64,169,168.9526054,,,
65,135,134.9647643,,,
65,136,135.9612954,,,
65,137,136.9560254,,,
65,138,137.9531232,,,
65,139,138.9483332,,,
65,140,139.9458186,,,
65,141,140.9414511,,,
65,142,141.9392875,,,
65,143,142.9351376,,,
65,144,143.9330453,,,
65,145,144.928821,,,
65,146,145.9272535,,,
65,147,146.9240549,,,
65,148,147.9242821,,,
65,149,148.9232535,,,
65,150,149.923665,,,
65,151,150.9231096,,,
65,152,151.9240834,,,
65,153,152.9234424,,,
65,154,153.9246855,,,
65,155,154.9235111,,,
65,156,155.9247552,,,
65,157,156.924033,,,
65,158,157.9254209,,,
65,159,158.9253547,,,
65,160,159.9271756,,,
65,161,160.9275778,,,
65,162,161.9294954,,,
65,163,162.9306547,,,
65,164,163.9333611,,,
65,165,164.9349821,,,
65,166,165.9378608,,,
65,167,166.9399621,,,
65,168,167.9434032,,,
65,169,168.9459732,,,
65,170,169.9498443,,,
65,171,170.9527354,,,
66,138,137.9625043,,,
66,139,138.9595954,,,
66,140,139.9540254,,,
66,141,140.9512832,,,
66,142,141.9461978,,,
66,143,142.9439941,,,
66,144,143.9392696,,,
66,145,144.9374741,,,
66,146,145.9328446,,,
66,147,146.9310828,,,
66,148,147.9271571,,,
66,149,148.9273221,,,
66,150,149.9255933,,,
66,151,150.9261916,,,
66,152,151.9247254,,,
66,153,152.9257724,,,
66,154,153.9244294,,,
66,155,154.9257591,,,
66,156,155.9242847,,,
66,157,156.9254708,,,
66,158,157.9244159,,,
66,159,158.925747,,,
66,160,159.9252046,,,
66,161,160.9269405,,,
66,162,161.9268056,,,
66,163,162.9287383,,,
66,164,163.9291819,,,
66,165,164.9317105,,,
66,166,165.9328139,,,
66,167,166.9356617,,,
66,168,167.9371315,,,
66,169,168.9403132,,,
66,170,169.9423921,,,
66,171,170.9461232,,,
66,172,171.9484632,,,
66,173,172.9528343,,,
67,140,139.9685954,,,
67,141,140.9631154,,,
67,142,141.9600154,,,
67,143,142.9548643,,,
67,144,143.9521098,,,
67,145,144.9472675,,,
67,146,145.9449936,,,
67,147,146.9401424,,,
67,148,147.9377449,,,
67,149,148.9338032,,,
67,150,149.9334982,,,
67,151,150.9316984,,,
67,152,151.9317241,,,
67,153,152.9302065,,,
67,154,153.9306069,,,
67,155,154.9291042,,,
67,156,155.9297066,,,
67,157,156.9282543,,,
67,158,157.9289463,,,
67,159,158.9277197,,,
67,160,159.9287372,,,
67,161,160.9278615,,,
67,162,161.9291023,,,
67,163,162.928741,,,
67,164,163.9302403,,,
67,165,164.9303288,,,
67,166,165.9322909,,,
67,167,166.9331386,,,
67,168,167.9355223,,,
67,169,168.9368782,,,
67,170,169.9396255,,,
67,171,170.9414764,,,
67,172,171.9447321,,,
67,173,172.9470232,,,
67,174,173.9509532,,,
67,175,174.9536243,,,
68,142,141.9701054,,,
68,143,142.9666243,,,
68,144,143.9607021,,,
68,145,144.9580521,,,
68,146,145.9524185,,,
68,147,146.9499644,,,
68,148,147.9447351,,,
68,149,148.9423063,,,
68,150,149.9379162,,,
68,151,150.9374492,,,
68,152,151.9350571,,,
68,153,152.9350801,,,
68,154,153.9327909,,,
68,155,154.933216,,,
68,156,155.9310673,,,
68,157,156.9319493,,,
68,158,157.9298933,,,
68,159,158.9306918,,,
68,160,159.9290773,,,
68,161,160.9300047,,,
68,162,161.9287884,,,
68,163,162.9300409,,,
68,164,163.9292088,,,
68,165,164.9307345,,,
68,166,165.9302995,,,
68,167,166.9320546,,,
68,168,167.9323767,,,
68,169,168.9345968,,,
68,170,169.9354702,,,
68,171,170.9380357,,,
68,172,171.9393619,,,
68,173,172.9424021,,,
68,174,173.9442332,,,
68,175,174.9477743,,,
68,176,175.9499443,,,
68,177,176.9539954,,,
69,144,143.9762843,,,
69,145,144.9703921,,,
69,146,145.9668421,,,
69,147,146.96138,,,
69,148,147.9583841,,,
69,149,148.9528932,,,
69,150,149.9500921,,,
69,151,150.9454882,,,
69,152,151.9444228,,,
69,153,152.9420402,,,
69,154,153.9415702,,,
69,155,154.9392101,,,
69,156,155.9389922,,,
69,157,156.9369443,,,
69,158,157.9369803,,,
69,159,158.9349753,,,
69,160,159.9352634,,,
69,161,160.9335493,,,
69,162,161.9340023,,,
69,163,162.9326593,,,
69,164,163.9335443,,,
69,165,164.9324431,,,
69,166,165.9335611,,,
69,167,166.9328562,,,
69,168,167.9341774,,,
69,169,168.9342179,,,
69,170,169.935806,,,
69,171,170.9364339,,,
69,172,171.9384056,,,
69,173,172.9396085,,,
69,174,173.9421735,,,
69,175,174.9438415,,,
69,176,175.9470011,,,
69,177,176.9490432,,,
69,178,177.9526443,,,
69,179,178.9553454,,,
70,148,147.9675864,,,
70,149,148.9643654,,,
70,150,149.9585243,,,
70,151,150.9554032,,,
70,152,151.9502717,,,
70,153,152.9493221,,,
70,154,153.9463962,,,
70,155,154.9457832,,,
70,156,155.9428251,,,
70,157,156.9426451,,,
70,158,157.9398706,,,
70,159,158.9400552,,,
70,160,159.9375572,,,
70,161,160.9379072,,,
70,162,161.9357742,,,
70,163,162.9363402,,,
70,164,163.9344952,,,
70,165,164.9352703,,,
70,166,165.9338748,,,
70,167,166.934953,,,
70,168,167.9338896,,,
70,169,168.9351825,,,
70,170,169.9347664,,,
70,171,170.9363302,,,
70,172,171.9363859,,,
70,173,172.9382151,,,
70,174,173.9388664,,,
70,175,174.9412808,,,
70,176,175.9425764,,,
70,177,176.9452656,,,
70,178,177.9466511,,,
70,179,178.9500421,,,
70,180,179.9521232,,,
70,181,180.9558932,,,
71,150,149.9735554,,,
71,151,150.9676843,,,
71,152,151.9641221,,,
71,153,152.9587517,,,
71,154,153.9573622,,,
71,155,154.9543212,,,
71,156,155.9530338,,,
71,157,156.9501272,,,
71,158,157.9493162,,,
71,159,158.9466364,,,
71,160,159.9460336,,,
71,161,160.9435723,,,
71,162,161.9432838,,,
71,163,162.9411793,,,
71,164,163.9413393,,,
71,165,164.9394073,,,
71,166,165.9398593,,,
71,167,166.9382703,,,
71,168,167.9387364,,,
71,169,168.9376441,,,
71,170,169.9384782,,,
71,171,170.937917,,,
71,172,171.9390891,,,
71,173,172.938934,,,
71,174,173.9403409,,,
71,175,174.9407752,,,
